customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST10000,Male,0,No,No,27,No,No,Fiber optic,Yes,No internet service,Yes,No internet service,No,No internet service,One year,No,Credit card (automatic),23.66,4454.46,No
CUST10001,Female,0,Yes,No,5,Yes,No phone service,Fiber optic,No,Yes,Yes,Yes,No,Yes,One year,Yes,Bank transfer (automatic),105.25,8939.03,No
CUST10002,Male,1,No,Yes,18,Yes,Yes,No,No internet service,No internet service,No internet service,No,No,No,Two year,No,Credit card (automatic),65.35,4298.58,No
CUST10003,Female,0,Yes,Yes,5,No,Yes,No,Yes,Yes,No,No internet service,No,No internet service,One year,Yes,Bank transfer (automatic),76.67,2284.17,No
CUST10004,Male,1,No,No,4,Yes,Yes,Fiber optic,Yes,No,No,No internet service,No,Yes,One year,No,Mailed check,93.93,556.76,No
CUST10005,Male,0,No,Yes,65,No,No,DSL,No,Yes,No internet service,No internet service,Yes,No,One year,No,Electronic check,65.64,5991.51,No
CUST10006,Female,0,Yes,Yes,47,No,No,Fiber optic,Yes,No internet service,No internet service,No internet service,No,No internet service,One year,No,Electronic check,118.73,64.82,No
CUST10007,Female,0,Yes,No,69,Yes,No,DSL,No,No,Yes,No,No internet service,No,Month-to-month,No,Bank transfer (automatic),106.76,7527.36,Yes
CUST10008,Female,1,Yes,Yes,13,No,Yes,DSL,No,No,No internet service,No internet service,No internet service,No,Two year,No,Bank transfer (automatic),41.34,2810.76,Yes
CUST10009,Male,1,Yes,Yes,44,Yes,Yes,DSL,No internet service,No,No internet service,No internet service,Yes,Yes,Month-to-month,No,Credit card (automatic),87.04,5999.46,No
CUST10010,Female,1,No,No,39,Yes,Yes,DSL,No,No internet service,Yes,No internet service,Yes,Yes,Two year,No,Electronic check,67.54,4507.53,No
CUST10011,Male,0,No,No,29,No,No,DSL,No internet service,Yes,No,Yes,Yes,No,One year,No,Bank transfer (automatic),56.11,5921.87,No
CUST10012,Female,1,No,Yes,21,Yes,Yes,Fiber optic,Yes,Yes,Yes,No internet service,No internet service,Yes,Month-to-month,Yes,Electronic check,55.17,497.54,No
CUST10013,Female,1,No,Yes,2,No,Yes,Fiber optic,No,No internet service,Yes,Yes,Yes,No internet service,Two year,Yes,Electronic check,36.28,1787.05,Yes
CUST10014,Female,0,Yes,No,28,No,No phone service,No,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,65.77,8041.52,No
CUST10015,Female,1,Yes,No,47,No,No,Fiber optic,Yes,No internet service,No,No internet service,No,No internet service,Two year,No,Mailed check,79.57,3769.48,Yes
CUST10016,Female,0,Yes,No,7,Yes,No,DSL,Yes,Yes,Yes,No,No internet service,No internet service,Two year,No,Electronic check,99.83,5096.85,Yes
CUST10017,Female,1,No,No,48,No,No,Fiber optic,Yes,No,No internet service,No,No internet service,No,Two year,Yes,Electronic check,48.88,4124.48,No
CUST10018,Male,1,No,No,6,No,No,DSL,Yes,No,No internet service,No internet service,Yes,Yes,Month-to-month,Yes,Credit card (automatic),97.38,8199.14,No
CUST10019,Female,0,Yes,Yes,23,No,No phone service,No,No,No internet service,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,75.38,1811.24,No
CUST10020,Female,0,No,Yes,4,No,No phone service,Fiber optic,No internet service,No internet service,Yes,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,45.8,7553.41,No
CUST10021,Male,0,No,Yes,63,Yes,No phone service,Fiber optic,No internet service,No internet service,No internet service,No internet service,No,Yes,Month-to-month,Yes,Electronic check,98.7,559.52,No
CUST10022,Male,0,Yes,No,4,No,No phone service,Fiber optic,No internet service,No,Yes,No internet service,No,No internet service,One year,No,Bank transfer (automatic),80.29,7718.6,No
CUST10023,Female,0,No,No,48,No,Yes,DSL,Yes,Yes,No,No,No internet service,No,One year,No,Mailed check,115.49,8128.26,No
CUST10024,Male,0,Yes,Yes,69,Yes,Yes,No,Yes,No internet service,Yes,No,Yes,Yes,One year,No,Credit card (automatic),48.84,7112.51,No
CUST10025,Male,0,No,No,14,No,No phone service,DSL,Yes,No internet service,No,No internet service,Yes,No,Month-to-month,Yes,Credit card (automatic),117.31,2508.59,No
CUST10026,Male,0,No,Yes,58,No,Yes,Fiber optic,No internet service,No,No,No internet service,No internet service,No,One year,Yes,Mailed check,75.56,1044.76,No
CUST10027,Female,1,No,Yes,20,Yes,No,No,Yes,No,No internet service,No,No internet service,No internet service,One year,No,Mailed check,65.48,4517.7,No
CUST10028,Male,0,No,Yes,8,Yes,Yes,DSL,No,No internet service,No,No internet service,Yes,Yes,One year,Yes,Bank transfer (automatic),107.49,5999.11,No
CUST10029,Female,1,Yes,Yes,46,No,Yes,No,No internet service,No,No,Yes,No internet service,Yes,Month-to-month,No,Mailed check,35.79,7376.41,No
CUST10030,Female,1,No,Yes,40,Yes,Yes,DSL,No,No,No internet service,Yes,No internet service,Yes,One year,Yes,Mailed check,66.2,4563.19,No
CUST10031,Male,1,Yes,No,55,No,Yes,No,Yes,Yes,No internet service,No,No internet service,No internet service,One year,No,Mailed check,32.55,4928.97,No
CUST10032,Female,1,No,Yes,47,No,No phone service,DSL,Yes,Yes,No,Yes,No internet service,No,One year,Yes,Credit card (automatic),81.32,8425.84,Yes
CUST10033,Male,0,No,Yes,61,Yes,Yes,No,Yes,No internet service,No internet service,No,Yes,No internet service,Two year,No,Electronic check,24.25,449.06,No
CUST10034,Male,1,No,No,30,Yes,Yes,Fiber optic,No internet service,No,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),118.02,2884.1,No
CUST10035,Female,0,No,No,65,No,No,Fiber optic,No,Yes,Yes,No,Yes,No internet service,Two year,No,Credit card (automatic),20.81,3954.71,No
CUST10036,Female,1,Yes,Yes,15,Yes,No phone service,Fiber optic,No,Yes,No,Yes,No,Yes,Two year,No,Electronic check,113.22,5762.81,No
CUST10037,Female,1,Yes,Yes,34,Yes,No,DSL,No internet service,No internet service,No internet service,No,Yes,No internet service,Month-to-month,No,Mailed check,84.42,873.52,Yes
CUST10038,Female,1,Yes,Yes,48,Yes,Yes,No,No internet service,No,Yes,Yes,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),102.28,7876.2,No
CUST10039,Female,1,Yes,Yes,30,No,Yes,Fiber optic,No,No,No internet service,No internet service,No,No,Two year,No,Electronic check,55.81,2861.35,No
CUST10040,Male,1,Yes,Yes,53,Yes,No,DSL,No internet service,No internet service,Yes,No,No,No internet service,One year,No,Credit card (automatic),44.4,1681.93,Yes
CUST10041,Female,0,Yes,Yes,22,No,No,DSL,No internet service,No internet service,Yes,No internet service,No,No internet service,One year,No,Bank transfer (automatic),37.32,5331.82,No
CUST10042,Female,0,No,No,16,No,Yes,DSL,No internet service,Yes,No,No,No internet service,Yes,One year,Yes,Credit card (automatic),73.12,1282.16,Yes
CUST10043,Female,0,Yes,No,13,No,No,No,Yes,Yes,No internet service,No,No internet service,Yes,Month-to-month,Yes,Mailed check,46.66,2983.94,No
CUST10044,Female,0,Yes,Yes,47,No,Yes,No,Yes,No internet service,No internet service,No,No,No,Two year,No,Bank transfer (automatic),108.01,7759.52,No
CUST10045,Female,0,Yes,No,47,Yes,Yes,No,Yes,No internet service,No,No internet service,No,No,Month-to-month,Yes,Credit card (automatic),22.99,7108.37,No
CUST10046,Female,0,Yes,Yes,5,Yes,No phone service,No,No,No internet service,No internet service,No,No,No internet service,Two year,Yes,Mailed check,28.46,2543.76,Yes
CUST10047,Male,0,Yes,Yes,22,Yes,No,No,No internet service,No,No internet service,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),41.58,3789.06,Yes
CUST10048,Female,1,Yes,Yes,47,No,No phone service,DSL,Yes,No,Yes,No,No internet service,No internet service,Two year,Yes,Mailed check,28.23,4579.03,No
CUST10049,Female,0,Yes,Yes,48,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),102.8,5111.79,No
CUST10050,Male,0,No,No,60,No,No phone service,DSL,Yes,Yes,No internet service,No internet service,No,No,Two year,No,Credit card (automatic),20.4,2717.71,No
CUST10051,Female,1,No,Yes,30,No,No phone service,Fiber optic,No,No internet service,No internet service,No,No,No,One year,Yes,Mailed check,85.17,4816.22,No
CUST10052,Female,0,No,Yes,4,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No,Yes,One year,No,Bank transfer (automatic),65.55,6963.8,No
CUST10053,Female,0,No,No,66,Yes,Yes,DSL,No internet service,No internet service,Yes,No internet service,No,No internet service,Two year,Yes,Credit card (automatic),97.27,6180.11,No
CUST10054,Female,0,No,Yes,37,Yes,No phone service,No,No internet service,Yes,Yes,Yes,No internet service,No,Two year,No,Electronic check,61.04,8559.49,No
CUST10055,Female,1,No,No,27,Yes,No phone service,Fiber optic,Yes,Yes,Yes,No internet service,Yes,No,Two year,No,Mailed check,84.51,2163.05,Yes
CUST10056,Male,1,No,No,30,No,No,Fiber optic,No,Yes,No,Yes,No,Yes,One year,No,Credit card (automatic),83.93,6110.56,Yes
CUST10057,Male,0,No,No,57,Yes,No phone service,DSL,No internet service,No internet service,No,No internet service,Yes,No internet service,Two year,Yes,Credit card (automatic),56.38,8548.23,No
CUST10058,Male,1,Yes,No,53,Yes,No,Fiber optic,No,Yes,No internet service,Yes,No,Yes,Month-to-month,No,Mailed check,31.42,883.07,No
CUST10059,Male,1,Yes,No,16,Yes,No phone service,No,No,Yes,No internet service,Yes,Yes,No,Two year,No,Mailed check,63.3,5066.04,Yes
CUST10060,Female,0,Yes,No,21,Yes,No,No,No,No,Yes,No internet service,Yes,No internet service,One year,No,Electronic check,107.51,8859.84,No
CUST10061,Male,1,Yes,No,63,Yes,No phone service,DSL,No internet service,No,No internet service,No internet service,Yes,No internet service,One year,Yes,Mailed check,99.64,571.65,No
CUST10062,Male,1,Yes,Yes,12,Yes,Yes,Fiber optic,No internet service,No internet service,No,No,No internet service,Yes,Month-to-month,Yes,Electronic check,57.14,3279.25,Yes
CUST10063,Female,1,Yes,Yes,43,Yes,Yes,DSL,No internet service,No,No,Yes,No,Yes,Month-to-month,No,Mailed check,106.73,783.3,Yes
CUST10064,Female,1,Yes,Yes,46,Yes,No phone service,DSL,No internet service,Yes,No internet service,No internet service,Yes,No,Month-to-month,No,Bank transfer (automatic),63.87,5280.41,No
CUST10065,Male,0,No,Yes,5,No,No phone service,No,No internet service,Yes,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),39.62,7677.49,Yes
CUST10066,Female,0,Yes,No,9,Yes,No phone service,DSL,No internet service,No,No internet service,No internet service,No,No internet service,Two year,No,Mailed check,106.4,2192.64,No
CUST10067,Male,1,Yes,No,57,No,Yes,No,No internet service,No,No,Yes,No internet service,Yes,Two year,Yes,Credit card (automatic),69.36,1854.1,No
CUST10068,Female,0,Yes,Yes,39,No,No phone service,DSL,No internet service,No,No internet service,No,No internet service,Yes,Month-to-month,No,Credit card (automatic),63.38,4780.19,Yes
CUST10069,Female,1,No,Yes,13,No,Yes,No,Yes,Yes,No,No internet service,No internet service,Yes,Month-to-month,Yes,Mailed check,43.49,3211.33,No
CUST10070,Female,0,No,No,22,No,No phone service,No,No,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),96.46,7438.47,Yes
CUST10071,Female,0,No,Yes,70,No,No phone service,DSL,No,No internet service,Yes,No internet service,No internet service,No,Month-to-month,Yes,Electronic check,75.02,1223.0,No
CUST10072,Female,1,Yes,No,14,No,No phone service,DSL,Yes,No,Yes,No internet service,Yes,Yes,Month-to-month,Yes,Credit card (automatic),40.73,8231.91,Yes
CUST10073,Male,0,Yes,No,4,Yes,Yes,DSL,No internet service,No internet service,Yes,Yes,No,No internet service,One year,No,Electronic check,45.93,7300.45,No
CUST10074,Male,0,No,Yes,40,No,No,Fiber optic,No internet service,No internet service,Yes,No,No,Yes,Two year,No,Mailed check,58.25,155.71,No
CUST10075,Female,1,Yes,Yes,19,No,No phone service,DSL,Yes,Yes,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,73.43,2520.51,No
CUST10076,Female,0,No,Yes,51,Yes,Yes,No,No,No,No,No internet service,No,Yes,Two year,Yes,Electronic check,100.52,8224.09,Yes
CUST10077,Female,0,Yes,No,9,Yes,No phone service,No,Yes,No internet service,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,40.72,7699.74,Yes
CUST10078,Male,0,Yes,Yes,26,Yes,Yes,No,No internet service,No internet service,Yes,No,Yes,No,One year,No,Mailed check,93.86,4447.29,Yes
CUST10079,Male,1,Yes,Yes,50,Yes,Yes,DSL,No,No,No,No,No internet service,No internet service,Month-to-month,Yes,Electronic check,111.62,4934.97,Yes
CUST10080,Female,0,Yes,No,59,No,No,Fiber optic,Yes,No internet service,No internet service,No,No internet service,Yes,One year,No,Bank transfer (automatic),59.57,745.73,Yes
CUST10081,Male,0,Yes,Yes,5,Yes,No phone service,Fiber optic,No,Yes,No,Yes,No internet service,Yes,One year,No,Electronic check,56.58,7202.29,No
CUST10082,Female,0,No,No,27,Yes,No phone service,No,No internet service,No,No internet service,Yes,No internet service,No internet service,Two year,No,Credit card (automatic),67.77,705.64,No
CUST10083,Male,0,No,No,15,No,Yes,Fiber optic,No internet service,No,No,Yes,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),101.71,5802.23,No
CUST10084,Female,0,Yes,Yes,16,Yes,No phone service,Fiber optic,No internet service,No,No internet service,No,No,Yes,One year,Yes,Electronic check,29.25,1042.78,No
CUST10085,Male,1,Yes,No,45,Yes,No,DSL,Yes,No,Yes,Yes,No internet service,No,Month-to-month,No,Credit card (automatic),58.73,3914.51,No
CUST10086,Male,0,Yes,Yes,9,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No,No,One year,No,Bank transfer (automatic),22.93,3253.26,No
CUST10087,Female,1,Yes,Yes,30,Yes,Yes,No,No,Yes,No internet service,Yes,No internet service,No internet service,One year,Yes,Credit card (automatic),71.78,3745.06,No
CUST10088,Male,1,No,Yes,58,Yes,Yes,Fiber optic,No,No internet service,No,No internet service,No,Yes,Two year,No,Mailed check,114.41,5205.45,No
CUST10089,Male,0,Yes,No,38,Yes,Yes,No,Yes,Yes,Yes,No internet service,No internet service,No,Two year,No,Electronic check,36.03,1280.64,No
CUST10090,Male,0,No,Yes,5,No,No phone service,DSL,Yes,Yes,No internet service,Yes,No,No,Month-to-month,No,Mailed check,45.54,2023.08,No
